"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394439,2019-03-31,"Canton, OH","OH",129,126500,0.00158353127474268,0.00636435958631663,0.0621326616288833,0.0627760927522361,0.0218605525170179,"2019-03","2019-Q1",126500,0,"2019-03"
394372,2019-03-31,"Beaumont, TX","TX",130,119800,0.00841750841750842,0.0354364736387208,0.181459566074951,0.0695389636283095,0.0313294386522134,"2019-03","2019-Q1",119800,0,"2019-03"
394820,2019-03-31,"Manchester, NH","NH",131,289600,0.00520652551197501,0.013296011196641,0.0733876945885841,0.0587368413757237,0.0236216204631698,"2019-03","2019-Q1",289600,0,"2019-03"
395048,2019-03-31,"Salem, OR","OR",132,282800,0.00497512437810945,0.0205701912666907,0.107716412064238,0.111765091565829,0.041564042729346,"2019-03","2019-Q1",282800,0,"2019-03"
394327,2019-03-31,"Anchorage, AK","AK",133,319300,0.00251177394034537,-0.0175384615384615,-0.00343320848938826,0.00710153250018264,0.0105812017333047,"2018-11","2018-Q4",326000,-0.0205521472392638,"2017-01"
394520,2019-03-31,"Davenport, IL","IL",134,127100,0.00078740157480315,0.00474308300395257,0.0392477514309076,0.0267201181964001,0.0153881249709897,"2019-03","2019-Q1",127100,0,"2019-03"
394972,2019-03-31,"Peoria, IL","IL",135,111100,0,-0.00179694519317161,0.0249077490774908,0.00400814455311815,-0.000538455923506209,"2007-06","2007-Q2",115800,-0.040587219343696,"2005-12"
394898,2019-03-31,"Myrtle Beach, SC","SC",136,191500,0.00577731092436975,0.0132275132275132,0.0413268080478521,0.0393392528777075,0.00477032599547278,"2006-11","2006-Q4",227700,-0.158981115502855,"2005-09"
394875,2019-03-31,"Montgomery, AL","AL",137,113400,0,-0.000881057268722467,0.0207020702070207,0.00739218753531889,-0.0128063925690007,"2007-10","2007-Q4",150300,-0.245508982035928,"2005-06"
395051,2019-03-31,"Salisbury, MD","DE",138,234800,-0.00042571306939123,0.00299017513882956,0.0334507042253521,0.0355193923044388,0.0028112977486503,"2006-10","2006-Q4",278400,-0.156609195402299,"2005-02"
394658,2019-03-31,"Gulfport, MS","MS",139,132700,0.0037821482602118,0.0129770992366412,0.151909722222222,0.0457577885694869,0.000150840966543164,"2010-11","2010-Q4",155700,-0.14771997430957,"2009-10"
395146,2019-03-31,"Tallahassee, FL","FL",140,172600,-0.00115740740740741,0.00817757009345794,0.0647748303516348,0.0552593264512415,0.0107480202539394,"2006-09","2006-Q3",182100,-0.0521691378363537,"2005-12"
395164,2019-03-31,"Trenton, NJ","NJ",141,241000,0.0004151100041511,0.0029130253849355,0.0414866032843561,0.0299888199089844,-0.00425552508729266,"2006-09","2006-Q3",287800,-0.162612925642807,"2004-11"
394589,2019-03-31,"Fayetteville, NC","NC",142,117100,0.00428816466552316,0.0147313691507799,0.0399644760213144,0.0185846532230178,0.00357040395024799,"2019-03","2019-Q1",117100,0,"2019-03"
394679,2019-03-31,"Hickory, NC","NC",143,136200,0.00294550810014728,0.0111358574610245,0.122835943940643,0.0552254952040518,0.0191199872075714,"2019-03","2019-Q1",136200,0,"2019-03"
394697,2019-03-31,"Huntington, WV","WV",144,97800,-0.00609756097560976,0.00102354145342886,0.0711938663745893,0.0363754344818294,0.0159333986709367,"2019-01","2019-Q1",98700,-0.00911854103343465,"2019-01"
394576,2019-03-31,"Eugene, OR","OR",145,294900,0.00442779291553134,0.0151462994836489,0.0758847136081722,0.0826059550507661,0.0314347322064115,"2019-03","2019-Q1",294900,0,"2019-03"
395033,2019-03-31,"Rockford, IL","IL",146,114900,0.00349344978165939,0.000871080139372822,0.0268096514745308,0.035305641300174,-0.00735254625846071,"2007-09","2007-Q3",133900,-0.141896938013443,"2003-12"
395070,2019-03-31,"Savannah, GA","GA",147,180600,0.00612813370473538,0.0163196398424311,0.0724465558194774,0.054212731959639,0.0158630920543008,"2019-03","2019-Q1",180600,0,"2019-03"
394332,2019-03-31,"Ann Arbor, MI","MI",148,291300,0.00379048931771192,0.0235418130709768,0.0918290854572714,0.074796175133899,0.0540985205044231,"2019-03","2019-Q1",291300,0,"2019-03"
394927,2019-03-31,"Ocala, FL","FL",149,154100,0.00653167864141084,0.0246010638297872,0.1078360891445,0.0920894038261131,0.0189694749754559,"2006-09","2006-Q3",183900,-0.162044589450788,"2005-09"
394732,2019-03-31,"Kalamazoo, MI","MI",150,154400,0.0012970168612192,0.0117955439056356,0.0880902043692741,0.0653662994683206,0.0310712637895021,"2019-03","2019-Q1",154400,0,"2019-03"
394901,2019-03-31,"Naples, FL","FL",151,337000,-0.000889415950192707,-0.001185536455246,0.0261875761266748,0.0643688361462205,0.0287189025457599,"2006-07","2006-Q3",452200,-0.254754533392304,"2005-02"
395107,2019-03-31,"South Bend, IN","IN",152,124500,0.00565428109854604,0.0163265306122449,0.101769911504425,0.0704025275030935,0.0196345632035897,"2019-03","2019-Q1",124500,0,"2019-03"
395109,2019-03-31,"Spartanburg, SC","SC",153,137500,0.00145666423889294,0.0110294117647059,0.0792778649921507,0.06747621043247,0.0301137406225229,"2019-03","2019-Q1",137500,0,"2019-03"
394579,2019-03-31,"Evansville, IN","IN",154,138400,0.00289855072463768,0.0139194139194139,0.08125,0.0496904667488556,0.0215730531116791,"2019-03","2019-Q1",138400,0,"2019-03"
394747,2019-03-31,"Kingsport, TN","TN",155,125800,-0.00079428117553614,-0.00237906423473434,0.0448504983388704,0.0446862944477244,0.0232177470926878,"2018-12","2018-Q4",126100,-0.00237906423473434,"2018-11"
395028,2019-03-31,"Roanoke, VA","VA",156,166800,0.0018018018018018,0.0109090909090909,0.0603941513032422,0.0285502928315755,0.00703963840888955,"2019-03","2019-Q1",166800,0,"2019-03"
394646,2019-03-31,"Green Bay, WI","WI",157,174300,0.00519031141868512,0.0145518044237485,0.0712968653964352,0.0645288613644477,0.0253490985627887,"2019-03","2019-Q1",174300,0,"2019-03"
394796,2019-03-31,"Lincoln, NE","NE",158,185100,0.00597826086956522,0.019273127753304,0.0699421965317919,0.057590986606787,0.0342308695065785,"2019-03","2019-Q1",185100,0,"2019-03"
394602,2019-03-31,"Fort Collins, CO","CO",159,384400,0.00470465237846315,0.0201698513800425,0.0583700440528634,0.0932874254621627,0.0564832299301445,"2019-03","2019-Q1",384400,0,"2019-03"
395179,2019-03-31,"Utica, NY","NY",160,125900,0.00559105431309904,0.0186084142394822,0.0724020442930153,0.0442333397334687,0.0257879456797054,"2019-03","2019-Q1",125900,0,"2019-03"
394488,2019-03-31,"Columbus, GA","GA",161,108500,0,0.00277264325323475,0.0839160839160839,0.0319769588163068,-0.00536800549086769,"2008-03","2008-Q1",120500,-0.0995850622406639,"2006-02"
394405,2019-03-31,"Boulder, CO","CO",162,536300,-0.00111752654125535,0.00468340202322967,0.0431822602606497,0.0865666573635837,0.0562059469268512,"2019-02","2019-Q1",536900,-0.00111752654125535,"2019-02"
394808,2019-03-31,"Lubbock, TX","TX",163,131700,-0.000758725341426404,-0.0037821482602118,0.02890625,0.0551428512655907,0.0329870633650997,"2018-12","2018-Q4",132200,-0.0037821482602118,"2018-12"
394572,2019-03-31,"Erie, PA","PA",164,121500,0,-0.00246305418719212,0.0192953020134228,0.0223261659918448,0.016853332642877,"2018-08","2018-Q3",122200,-0.00572831423895254,"2018-06"
394609,2019-03-31,"Fort Smith, AR","AR",165,105500,0.00189933523266857,0.00380589914367269,0.0656565656565657,0.0424478249851239,0.0159042258630755,"2019-03","2019-Q1",105500,0,"2019-03"
394543,2019-03-31,"Duluth, MN","MN",166,146900,-0.00474254742547425,-0.0127688172043011,0.0485367594575303,0.0407615367224197,0.0189975076085782,"2018-12","2018-Q4",148800,-0.0127688172043011,"2018-09"
394348,2019-03-31,"Atlantic City, NJ","NJ",167,187200,0.00429184549356223,0.0179445350734095,0.073394495412844,0.00576062465441374,-0.0213117756198281,"2006-09","2006-Q3",283400,-0.339449541284404,"2004-03"
