id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
27989719,Prospect Heights,Private room,1,1.5,1,250,16,90,0,,,
11569227,Bushwick,Entire home/apt,2,1,1,115,4,11,28,98,10,10
19273138,Bushwick,Private room,2,1,1,60,2,191,25,98,10,10
30950818,Bedford-Stuyvesant,Entire home/apt,2,1,1,50,3,22,5,100,10,10
19586399,Bushwick,Shared room,2,1,1,34,2,153,75,95,10,10
22656433,Bedford-Stuyvesant,Entire home/apt,6,1,2,149,2,37,86,92,10,9
18908083,Bushwick,Entire home/apt,5,1,2,137,4,138,56,91,10,9
23351120,Washington Heights,Private room,1,1,1,35,20,314,1,100,10,10
8925072,Bushwick,Private room,2,1.5,1,70,4,341,51,98,10,10
8206060,Bedford-Stuyvesant,Entire home/apt,5,1,2,325,2,19,7,97,10,10
33087999,Bushwick,Private room,2,1,1,49,2,2,4,100,10,10
15818608,Murray Hill,Entire home/apt,4,1,1,400,1,345,15,91,9,8
29219456,Bedford-Stuyvesant,Private room,2,2,1,65,2,360,11,80,9,8
31817612,Bedford-Stuyvesant,Private room,2,1,1,59,30,360,0,,,
28186175,Washington Heights,Entire home/apt,6,1,2,189,5,238,15,99,10,10
16364491,Upper East Side,Entire home/apt,4,1,1,320,3,122,15,94,10,9
7024138,Upper East Side,Entire home/apt,5,1,2,222,2,307,86,90,10,9
33416246,Midtown,Entire home/apt,4,1,1,142,30,308,0,,,
34366003,Midtown,Entire home/apt,6,1,2,415,2,6,0,,,
2082223,Battery Park City,Private room,1,1,1,95,1,365,38,84,8,9
33032132,Battery Park City,Entire home/apt,2,1,1,225,3,124,0,,,
2865117,Park Slope,Entire home/apt,3,1,2,155,29,132,5,96,9,10
9006920,East Flatbush,Shared room,2,2,1,40,30,365,5,84,8,8
6836485,Flatbush,Entire home/apt,4,1,0,70,2,212,146,95,10,10
25027222,Upper West Side,Entire home/apt,2,1,1,117,30,135,0,,,
125594,Kensington,Private room,2,,1,39,1,340,81,90,9,9
31458781,Sunset Park,Entire home/apt,4,2,1,165,30,334,0,,,
27570485,Upper West Side,Entire home/apt,4,1,1,142,30,246,1,80,10,8
15003721,East Flatbush,Private room,2,1,1,50,1,317,37,94,9,9
4632795,Upper West Side,Private room,1,1,1,100,30,364,12,95,9,9
22159419,Midtown,Entire home/apt,3,1.5,1,440,8,84,1,100,10,10
16071234,Upper East Side,Entire home/apt,4,1,2,400,30,365,1,20,,
28167789,Astoria,Entire home/apt,2,1.5,1,150,30,365,1,80,8,8
22636145,Sunnyside,Private room,4,1,1,60,1,285,60,95,10,9
33813856,Astoria,Private room,2,1,1,80,1,81,0,,,
31906094,Greenpoint,Entire home/apt,2,1,1,68,1,1,10,94,10,9
30925552,Midtown,Private room,4,1,1,425,1,242,1,100,10,10
19718634,Claremont Village,Entire home/apt,2,1,1,58,3,48,55,85,9,9
17105446,Ditmars Steinway,Private room,4,1,1,70,1,118,0,,,
34013205,Greenpoint,Entire home/apt,2,1,0,106,3,3,0,,,
33711101,Astoria,Private room,2,1,1,90,1,31,5,96,10,10
22408376,Ditmars Steinway,Private room,1,1,1,37,1,245,14,93,10,10
