Date,Province_State,Cases,Deaths,New Cases,New Deaths
2020-05-12,Oregon,3358,130,72,0
2020-05-13,Oregon,3416,134,58,4
2020-05-14,Oregon,3479,137,63,3
2020-05-15,Oregon,3541,137,62,0
2020-05-16,Oregon,3612,137,71,0
2020-05-17,Oregon,3623,137,11,0
2020-05-18,Oregon,3687,138,64,1
2020-05-19,Oregon,3726,140,39,2
2020-05-20,Oregon,3801,144,75,4
2020-05-21,Oregon,3817,145,16,1
2020-05-22,Oregon,3864,147,47,2
2020-05-23,Oregon,3888,147,24,0
2020-05-24,Oregon,3927,148,39,1
2020-05-25,Oregon,3949,148,22,0
2020-05-26,Oregon,3967,148,18,0
2020-05-27,Oregon,4038,148,71,0
2020-05-28,Oregon,4086,151,48,3
2020-05-29,Oregon,4131,151,45,0
2020-05-30,Oregon,4185,153,54,2
2020-05-31,Oregon,4243,153,58,0
2020-06-01,Oregon,4302,154,59,1
2020-06-02,Oregon,4335,157,33,3
2020-06-03,Oregon,4399,159,64,2
2020-06-04,Oregon,4474,159,75,0
2020-06-05,Oregon,4570,161,96,2
2020-06-06,Oregon,4570,161,0,0
2020-06-07,Oregon,4662,163,92,2
2020-06-08,Oregon,4922,164,260,1
2020-06-09,Oregon,4988,169,66,5
2020-06-10,Oregon,5060,169,72,0
2020-06-11,Oregon,5237,171,177,2
2020-06-12,Oregon,5377,173,140,2
2020-06-13,Oregon,5377,173,0,0
2020-06-14,Oregon,5636,176,259,3
2020-06-15,Oregon,5820,180,184,4
2020-06-16,Oregon,6098,182,278,2
2020-06-17,Oregon,6218,183,120,1
2020-06-18,Oregon,6366,187,148,4
