City,Population
"Austin, TX",0.950715
"Boston, MA",0.685094
"Los Angeles-Long Beach-Anaheim, CA",4
"Nashville, TN",0.691243
"New York, NY",8.623
"Portland, OR",0.647805
"San Diego, CA",1.42
"Seattle, WA",0.727745
"San Francisco, CA",0.884363
"New Orleans, LA",0.393292
"Denver, CO",0.619968
"Washington, DC",0.633427
