,id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
48,29148367,Little Italy,Entire home/apt,4,1.0,2.0,165.0,30,311,1,100.0,10.0,10.0
49,848071,Chinatown,Entire home/apt,2,1.0,1.0,100.0,2,120,37,95.0,10.0,9.0
50,34061588,Chinatown,Entire home/apt,3,1.0,0.0,135.0,5,306,0,,,
51,29277029,Little Italy,Entire home/apt,3,1.0,1.0,230.0,2,350,7,100.0,10.0,10.0
52,17093271,Lower East Side,Entire home/apt,5,1.0,2.0,155.0,3,143,61,86.0,9.0,9.0
53,32984848,Chinatown,Entire home/apt,4,1.0,2.0,199.0,3,98,3,100.0,9.0,10.0
54,20763209,Chinatown,Entire home/apt,2,1.0,0.0,145.0,4,77,11,95.0,10.0,9.0
55,3626609,Lower East Side,Entire home/apt,3,1.0,1.0,104.0,30,172,11,89.0,9.0,8.0
56,33135722,East Village,Private room,1,1.0,1.0,65.0,1,25,0,,,
57,34368310,Lower East Side,Private room,2,1.0,1.0,89.0,2,252,0,,,
58,29148293,East Village,Entire home/apt,2,1.0,0.0,200.0,3,17,2,100.0,10.0,10.0
59,31127921,East Village,Entire home/apt,6,1.0,2.0,299.0,3,167,8,95.0,10.0,10.0
60,28958526,Little Italy,Entire home/apt,5,1.0,2.0,290.0,2,169,20,89.0,9.0,9.0
61,26839759,West Village,Entire home/apt,4,2.0,2.0,350.0,10,30,2,100.0,10.0,8.0
62,34306801,East Village,Entire home/apt,2,1.0,1.0,298.0,30,360,0,,,
63,17280847,Lower East Side,Entire home/apt,3,1.0,2.0,250.0,2,134,58,95.0,10.0,9.0
64,29988114,West Village,Entire home/apt,2,1.0,0.0,200.0,1,87,0,,,
65,999248,Tribeca,Entire home/apt,12,2.0,3.0,575.0,1,171,431,98.0,10.0,9.0
66,31670590,East Village,Private room,4,1.0,0.0,167.0,30,255,6,97.0,10.0,10.0
67,31117271,West Village,Private room,1,1.0,1.0,90.0,30,354,0,,,
68,820218,East Village,Entire home/apt,2,,1.0,121.0,2,91,6,100.0,10.0,10.0
69,6051782,Gramercy,Entire home/apt,4,1.0,1.0,150.0,30,168,10,89.0,9.0,9.0
70,33228127,East Village,Entire home/apt,8,1.0,3.0,396.0,1,336,7,94.0,10.0,10.0
71,24687603,Hell's Kitchen,Entire home/apt,5,2.0,2.0,350.0,30,327,3,100.0,10.0,10.0
72,27016768,Civic Center,Entire home/apt,2,1.0,0.0,199.0,3,251,28,99.0,10.0,10.0
73,7679697,Hell's Kitchen,Entire home/apt,4,1.0,1.0,150.0,2,96,47,97.0,10.0,10.0
74,23838400,East Village,Entire home/apt,5,1.0,1.0,165.0,1,41,12,95.0,10.0,9.0
75,29424138,West Village,Entire home/apt,5,1.0,1.0,182.0,3,192,21,87.0,9.0,9.0
