Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
3/31/2019,62021,Marine Park,NY,New York-Newark-Jersey City,Kings County,New York,752,814000,0.00481422,0.003451677,0.005558987,0.077174026,0.050363221,2018-06,2018-Q2,822900,-0.010815409,2018-05
3/31/2019,62022,Williamsburg,NY,New York-Newark-Jersey City,Kings County,New York,108,971000,0.004448122,0.008307373,0.00569653,0.048134105,0.054694834,2017-11,2017-Q4,980300,-0.009486892,2017-10
3/31/2019,62023,Williamsburg,NY,New York-Newark-Jersey City,Kings County,New York,55,460000,0.007446343,0.003052769,0.081081081,0.098866485,0.031787315,2019-03,2019-Q1,460000,0,2019-03
3/31/2019,62024,Crown Heights,NY,New York-Newark-Jersey City,Kings County,New York,403,914500,0.002411487,0.005165971,0.058571594,0.101803665,0.061855217,2019-03,2019-Q1,914500,0,2019-03
3/31/2019,62025,Bensonhurst,NY,New York-Newark-Jersey City,Kings County,New York,75,704500,0.000426015,-0.008723793,0.020570766,0.068725913,0.046473439,2018-07,2018-Q3,713500,-0.012613875,2018-06
3/31/2019,62026,South Slope,NY,New York-Newark-Jersey City,Kings County,New York,114,1228500,-0.001625356,-0.018142583,-0.049516441,0.064918921,0.054692658,2018-05,2018-Q2,1299600,-0.054709141,2017-09
3/31/2019,62027,Bedford-Stuyvesant,NY,New York-Newark-Jersey City,Kings County,New York,489,834400,0,-0.034371022,-0.021231672,0.081673214,0.073771911,2018-11,2018-Q4,871800,-0.042899748,2018-01
3/31/2019,62028,Boerum Hill,NY,New York-Newark-Jersey City,Kings County,New York,1301,1214200,0.005715232,0.001897846,-0.062031672,0.047014227,0.050581195,2017-05,2017-Q2,1314500,-0.076302777,2015-11
3/31/2019,62029,Kensington,NY,New York-Newark-Jersey City,Kings County,New York,282,1116400,0.007945107,0.018799051,0.170844258,0.108408227,0.066795675,2019-03,2019-Q1,1116400,0,2019-03
3/31/2019,62030,Borough Park,NY,New York-Newark-Jersey City,Kings County,New York,399,842700,0.011280451,0.029692082,0.059600151,0.085633708,0.054795427,2019-03,2019-Q1,842700,0,2019-03
3/31/2019,62032,Bushwick,NY,New York-Newark-Jersey City,Kings County,New York,64,943700,-0.007571774,-0.038512481,0.012662303,0.125467374,0.080499293,2018-11,2018-Q4,987500,-0.04435443,2018-05
3/31/2019,62033,Greenpoint,NY,New York-Newark-Jersey City,Kings County,New York,1126,989000,0.000101122,-0.008819403,-0.014842116,0.060240647,0.064750892,2017-06,2017-Q2,1032600,-0.042223513,2016-08
3/31/2019,62035,Coney Island,NY,New York-Newark-Jersey City,Kings County,New York,847,569500,0.004232058,0.008857396,0.098148862,0.076409343,0.047079082,2019-03,2019-Q1,569500,0,2019-03
3/31/2019,62036,Flatbush,NY,New York-Newark-Jersey City,Kings County,New York,357,1359600,-0.001615509,-0.028579594,0.025494041,0.123686907,0.079872811,2017-02,2017-Q1,1428000,-0.04789916,2016-12
3/31/2019,62038,Dyker Heights,NY,New York-Newark-Jersey City,Kings County,New York,3817,914300,-0.000874221,-0.00641165,0.019968764,0.058460877,0.047525858,2018-11,2018-Q4,922900,-0.009318453,2018-10
3/31/2019,62039,Sheepshead Bay,NY,New York-Newark-Jersey City,Kings County,New York,82,773300,0.003503763,0.002203214,0.029145595,0.075019476,0.048385698,2019-03,2019-Q1,773300,0,2019-03
3/31/2019,62041,Red Hook,NY,New York-Newark-Jersey City,Kings County,New York,2051,1137500,-0.001930333,-0.015236776,-0.079990294,0.058239534,0.053106204,2016-09,2016-Q3,1271700,-0.105528033,2015-12
3/31/2019,62044,Bergen Beach,NY,New York-Newark-Jersey City,Kings County,New York,109,623500,0.003702511,0.011026431,0.073334481,0.071958837,0.039094324,2019-03,2019-Q1,623500,0,2019-03
3/31/2019,62046,Canarsie,NY,New York-Newark-Jersey City,Kings County,New York,228,492800,0.000812348,0.00550908,0.084507042,0.061996716,0.029381134,2019-03,2019-Q1,492800,0,2019-03
3/31/2019,62048,Prospect Heights,NY,New York-Newark-Jersey City,Kings County,New York,142,967500,-0.00082619,-0.010635034,-0.062136487,0.056622878,0.057587115,2018-05,2018-Q2,1045600,-0.074693956,2017-03
3/31/2019,62058,East Flatbush,NY,New York-Newark-Jersey City,Kings County,New York,1720,1093900,0.032370706,0.034910123,-0.014149243,0.031933672,0.051268544,2017-11,2017-Q4,1144400,-0.044127927,2017-07
3/31/2019,62041,Carroll Gardens,NY,New York-Newark-Jersey City,Kings County,New York,2051,1137500,-0.001930333,-0.015236776,-0.079990294,0.058239534,0.053106204,2016-09,2016-Q3,1271700,-0.105528033,2015-12
3/31/2019,62028,Fort Greene,NY,New York-Newark-Jersey City,Kings County,New York,1301,1214200,0.005715232,0.001897846,-0.062031672,0.047014227,0.050581195,2017-05,2017-Q2,1314500,-0.076302777,2015-11
3/31/2019,62037,Prospect-Lefferts Gardens,NY,New York-Newark-Jersey City,Kings County,New York,10,821900,-0.00496368,-0.011069667,0.081162852,0.120561907,0.062135569,2018-12,2018-Q4,831100,-0.011069667,2018-07
3/31/2019,62035,Brighton Beach,NY,New York-Newark-Jersey City,Kings County,New York,847,569500,0.004232058,0.008857396,0.098148862,0.076409343,0.047079082,2019-03,2019-Q1,569500,0,2019-03
3/31/2019,62014,DUMBO,NY,New York-Newark-Jersey City,Kings County,New York,463,524700,-0.000952018,-0.007190161,0.076307692,0.078255576,0.031683953,2018-11,2018-Q4,533600,-0.01667916,2018-10
3/31/2019,62041,Columbia St,NY,New York-Newark-Jersey City,Kings County,New York,2051,1137500,-0.001930333,-0.015236776,-0.079990294,0.058239534,0.053106204,2016-09,2016-Q3,1271700,-0.105528033,2015-12
