"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-07-31,78258,"46773","IN","Fort Wayne","Allen County","Monroeville",12675,150800,0.00332667997338656,0.00802139037433155,0.0794559770937724,0.0533296891003276,0.0281903505897314,"2019-07","2019-Q3",150800,0,"2019-07"
2019-07-31,85307,"62075","IL",,"Montgomery County","Nokomis",12676,51600,0,0.00584795321637427,0.119305856832972,0.0581324179767777,0.00873910263040134,"2019-07","2019-Q3",51600,0,"2019-07"
2019-07-31,87710,"67661","KS",,"Phillips County","Phillipsburg",12677,57100,0.0214669051878354,-0.0121107266435986,-0.0775444264943457,-0.00652528272180086,,"2017-05","2017-Q2",64700,-0.117465224111283,
2019-07-31,85303,"62069","IL","St. Louis","Macoupin County","Mount Olive",12678,53300,0.017175572519084,0.0471512770137525,0.0533596837944664,0.0233088259142644,0.0068152535736028,"2006-07","2006-Q3",58300,-0.0857632933104631,"2006-02"
2019-07-31,81998,"54949","WI",,"Waupaca County","Manawa",12679,123900,0.00405186385737439,0.00649878147847279,0.0403022670025189,0.0450497949950834,0.0126167675711877,"2019-01","2019-Q1",124000,-0.000806451612903226,"2019-01"
2019-07-31,99776,"98392","WA","Bremerton-Silverdale","Kitsap County","Suquamish",12680,312200,-0.00414673046251994,-0.0107731305449937,0.116595135908441,0.11009049294159,0.0451738918191427,"2019-04","2019-Q2",315600,-0.0107731305449937,"2019-02"
2019-07-31,58398,"01518","MA","Worcester","Worcester County","Fiskdale",12681,326100,0.0049306625577812,0.00710315009264978,0.0591101006820396,0.0482889019547004,0.0235819980701459,"2019-07","2019-Q3",326100,0,"2019-07"
2019-07-31,74132,"37049","TN","Nashville-Davidson--Murfreesboro--Franklin","Robertson County","Cross Plains",12682,206400,0.000969932104752667,-0.00721500721500722,0.0584615384615385,0.0854200137760068,0.0474745985582585,"2019-03","2019-Q1",208900,-0.0119674485399713,"2019-02"
2019-07-31,90996,"75630","TX",,"Marion County","Avinger",12683,116400,-0.000858369098712446,0.00954032957502168,0.0909090909090909,0.0459092558906551,0.0380829222590036,"2019-06","2019-Q2",116500,-0.000858369098712446,"2019-06"
2019-07-31,74484,"37806","TN","Knoxville","Knox County","Mascot",12684,134900,0.00521609538002981,-0.00954478707782672,0.0227445034116755,0.0852774717682276,0.0381172254660707,"2019-03","2019-Q1",138200,-0.0238784370477569,"2019-01"
2019-07-31,85546,"62535","IL","Decatur","Macon County","Forsyth",12685,223400,0.00585321927059883,0.00359389038634322,0.0356977283263792,-0.0070120854195711,-0.0267231809756724,"2009-11","2009-Q4",328800,-0.320559610705596,"2008-10"
2019-07-31,63396,"14062","NY","Jamestown-Dunkirk-Fredonia","Chautauqua County","Hanover",12686,94800,0.0171673819742489,0.0486725663716814,0.0651685393258427,0.00689126374732552,0.0154809465882693,"2018-04","2018-Q2",95500,-0.00732984293193717,"2018-03"
2019-07-31,66250,"20158","VA","Washington-Arlington-Alexandria","Loudoun County","Hamilton",12687,572700,-0.0013949433304272,-0.0107099671791328,0.0519838354151359,0.0426796611340576,0.0342124709412048,"2005-12","2005-Q4",609900,-0.0609936055090999,"2005-05"
2019-07-31,87644,"67544","KS","Great Bend","Barton County","Hoisington",12688,62800,-0.00789889415481832,-0.0723781388478582,-0.052790346907994,,,"2019-02","2019-Q1",70800,-0.112994350282486,"2018-05"
2019-07-31,70901,"30124","GA","Rome","Floyd County","Cave Spring",12689,156000,0.00515463917525773,0.0103626943005181,0.125541125541126,0.0912715001838367,0.0334143412935759,"2019-07","2019-Q3",156000,0,"2019-07"
2019-07-31,81195,"53076","WI","Milwaukee-Waukesha-West Allis","Washington County","Richfield",12690,364100,-0.00219238147437654,0.00942611588577765,0.0399885746929449,0.0637616858917869,0.0282018744883454,"2019-01","2019-Q1",365700,-0.00437517090511348,"2018-12"
2019-07-31,92592,"78659","TX","Austin-Round Rock","Bastrop County","Paige",12691,219000,0.0138888888888889,0.0423607805806759,0.121926229508197,0.134355321837389,0.0723625123481564,"2019-07","2019-Q3",219000,0,"2019-07"
