DATE,GDPC1_PCA
2013-01-01,3.59004
2013-04-01,0.49450
2013-07-01,3.17068
2013-10-01,3.23143
2014-01-01,-1.00326
2014-04-01,5.11062
2014-07-01,4.92404
2014-10-01,1.90080
2015-01-01,3.33169
2015-04-01,3.33948
2015-07-01,0.96393
2015-10-01,0.40024
2016-01-01,1.54758
2016-04-01,2.28166
2016-07-01,1.92537
2016-10-01,1.76182
2017-01-01,1.78504
2017-04-01,2.99166
2017-07-01,2.82334
2017-10-01,2.29118
2018-01-01,2.21764
2018-04-01,4.15880
2018-07-01,3.50063
